Sum of receipts,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Grand Total
IAMAW LICENSE PLATE,,,,,,,,,,,,,,,,,,,,,,,190,20,,,210
IL CONGRESSIONAL DELEGATION,45,45,,15,27,38,55,48,42,44,44,25,17,26,,78,45,38,2,22,,33,30,22,30,50,821
IL EMS MEM SCHLRSHP & TRNG LIC,,,,,,,,,,,,,2700,1320,156,,7848,396,60,,,24,,36,,,12540
IL FIREFIGHTERS LICENSE,183793,215369,228590,273876,344297,375259,394320,466439,470467,495538,536718,556033,584181,622002,655419,659522,675978,689728,688209,706778,698782,695515,596319,656581,591564,561909,13623186
IL NURSE FOUND LICENSE PLATES,,,,,,,,,,,,,,,,,,1720,10000,23580,18264,31683,30629,38601,40777,42664,237918
IL POLICE ASSOC LICENSES,,,,,,,,,,,,,31600,46875,63950,78150,90825,102275,110850,121850,127670,136775,122650,138475,135650,138650,1446245
IL POLICE K-9 MEMORIAL PLATES,,,,,,,,,,,,,,,,,1300,175,50,,,,,,,,1525
IL ROUTE 66 LICENSES,,,,,,,24839,39918,51641,78248,104905,113717,131930,149779,162889,173568,180942,192264,197248,211851,223068,242069,213872,249502,247056,248416,3237722
IL SHERIFF ASSOC LICENSE PLATE,,,,,,,,,,,,,,,,,,75,1050,1425,3200,4875,5350,5890,6025,6675,34565
IL STATE UNIVERSITY,,,,,,,,,7025,16800,17775,17950,18775,19900,20050,21425,24378,26037,25459,28745,27026,28602,24187,27953,30236,25510,407833
ILLINOIS/MICHIGAN CANAL,,,,5897,8460,9394,9243,10262,9601,10646,10297,9694,9004,9296,8913,8684,8372,8385,8145,7863,7874,7082,6231,6813,6269,5813,192238
INTERNT'L BRTHRHD OF TEAMSTRS,,,,,,,,,,,,,2425,50,25,,35175,,6141,6288,7413,8944,8375,10638,10207,10528,106209
IOTA PHI THETA,,,,,,,,,,,,,,,,,,,,,,,,879,833,875,2587
IRAQ LICENSE,,,,,,,,,,,,4830,9600,10110,5520,,,,,,,,,,,,30060
ISP MEM PARK LICENSE PLATES,,,,,,,,,,,,,,,,,,11975,19375,20950,25325,45488.52,394554.34,39175,39550,41850,638242.86
JUNIOR GOLF LICENSE PLATES,,,,,,,,,,,3000,,,,,,,,,,,,,,,,3000
JUNIOR GOLF LICNESE PLATES,,,,,,,,,,,,24840,29040,33080,38760,44920,46040,49720,49760,54640,54320,57640,51440,57560,56240,56640,704640
K9S FOR VETERANS LIC PLATE,,,,,,,,,,,,,,,,,,,,,,,80,80,170,20,350
KAPPA ALPHA PSI,,,,,,,,,,,7900,6475,7025,7950,8400,8500,9778,9762,9908,10749,10625,11185,9208,11051,10091,9667,148274
KOREAN SERVICE LICENSE PLATES,,,,,,,,,,,,,450,495,469,86,102,66,88,112,100,124,114,58,74,40,2378
KOREAN WAR LICENSE PLATES,7850,7224,6632,7836,8893,9247,6627,2005,1545,1200,1245,1725,1395,975,,,,,,,,,,15,,15180,79594
LOYOLA UNIVERSITY,,,,,,,,,3650,8650,8625,8400,8375,8325,8250,7325,7962,6676,7110,8783,6852,7367,6729,8051,7747,8244,137121
M OR L ENDORSEMENT,,,,,,,,764510,870800,884720,917335,934935,954594.08,915720.92,956765,932070,937230,919830,889710,877895,876870,878930,688675,839285,870165,854005,16764045
MALCOM X COLLEGE,,,,,,,,,300,575,625,425,400,525,300,225,350,350,512,216,216,283,228,363,402,444,6739
MAMMOGRAM LICENSE PLATE,,,46940,54475,90575,98775,107900,126800,127825,129725,138450,140000,144825,148850,151625,150425,147875,148100,142425,145100,137000,131525,113775,127275,114700,109825,2974790
MARINE CORPS LICENSE PLATES,,,,,,,13800,34700,48120,60120,73680,84080,95900,107120,107359,100061,110016,115917,119745,134703,138932,145121,135252.5,156833,141034,140371,2062864.5
MASTER MASON LICENSE,36275,42850,42000,48175,50075,48525,49250,55200,50375,49900,51350,49450,49900,49175,49300,49150,47875,46375,44925,48025,44850,43800,38100,43450,38275,36225,1202850
MAYORS/VILLAGE PRESIDENTS,,,,1375,1220,492,830,474,607,413,432,339,380,291,281,309,273,232,298,211,297,255,216,285,379,291,10180
MICS VEHICLE & OPERATORS LIC,1749684,1712882.8,1546221.35,3187998.16,3362050.44,3391216.52,3590395.25,3294403.49,3056120.55,2988050.59,3370471.56,3567966.3,3526815.74,3624835.28,3762865.16,3614115.78,3606790.14,3524545.98,3206742.48,3423300.3,3296650.86,3179430.36,2687268.42,3333966.48,2929358.25,2823726.42,81357872.66
MILLIKEN UNIVERSITY,,,,,,,,,775,2000,2150,2225,1950,1875,1950,2050,1998,2280,2390,2092,2551,1781,1996,1834,1592,1660,35149
MONARCH BUTTERFLY LIC PLATES,,,,,,,,,,,,,,,,,,,,,,145,90,,25,,260
MOTOR VEHICLE LICENSES,686567826.7,711370630.7,904415876.1,1066653383,1102999031,1024761757,1078824135,1068137302,1213547077,1205296949,1222729564,1226830923,1268576639,1376617675,1381838126,1342724673,1349405444,1375624458,1390933883,1424472635,1322110467,1439670974,1319593440,1537576994,1438677819,1453824087,31933781768
NATL WILD TURKEY LICENSE PLATE,,,,,,,,,,,,,,,,,675,225,275,,,,,,,,1175
NORTH PARK COLLEGE LIC PLATES,,,,,,,,,,,,,,,,,,,,,,,,,20,,20
NORTHERN IL UNIVERSITY,,,,,,,,,6325,16800,18300,19050,20225,20325,20850,21100,23298,25721,22946,25048,24409,22749,19369,23317,23881,22199,375912
NORTHWESTERN UNIVERSITY,,,,,,,,,9700,24625,24400,23725,23400,23025,23900,24825,28108,29285,27607,26282,27267,30426,28180,26274,25247,25536,451812
NOTRE DAME LICENSE PLATES,,,,,,,,,,,4960,28535,23853,26574,28594,33512,33984,34345,34100,36503,36038,35394,32562,37121,32218,31675,489968
OMEGA PSI PHI,,,,,,,,,,,,,2150,2700,3450,3650,4975,5132,5746,6520,6264,6574,5768,7448,7420,7247,75044
OPERATORS LICENSES,57042294.81,57625361.61,65294672.9,62354115.33,68721140.29,76647200.8,73818329.17,82612437.51,65767759.99,66847059.58,62451237.8,59379678.29,77448309.52,91320253.53,90209380.44,88730851.75,100067489.2,99873332,98968399.5,97265109.12,98038385.55,98349975.29,83257079.6,91383084.5,101259290.8,97475776,2112208005
ORGAN DONOR AWARENESS,,,,,63625,98475,119325,143825,153625,168725,191000,202325,207425,216025,210125,205650,199375,194650,183400,182375,169525,161100,139575,148625,128525,120175,3607475
OVARIAN CANCER AWARENESS,,,,,,,,,,,,,7000,9275,10525,12175,13775,14300,14925,15975,16175,15675,13775,15775,14225,13975,187550
PAN HELLENIC LICENSES,,,,,,,,,7455,5778,7042,6808,6531,6312,6501,7245,1636,,,,,,,,,,55308
PARATROOPER LICENSE PLATES,,,,,,,,,,,,,1755,1965,1320,,,,,,,,,,,,5040
PARK DIST YOUTH PRG LICENSES,,,,,,5400,15992,20589,22474,23828,25960,28018,28322,28573,29792,29610,32520,31466,31444,31642,31083,32217,28622,31073,29216,28846,566687
PEDIATRIC CANCER LICENSE PLATE,,,,,,,,,,,,,,,,,,,,,,,80,10,,,90
PERSONALIZED LICENSES PLATES,,,,,,,3050285.5,11217350.5,9917554,9233326.5,9009369,8329103,7948997,7704395,7442564,7120916,6758078,6693658,6195110,6239305,5902268,5613986,4767711,5197676,4802057,4611661,137755370.5
PET FRIENDLY LICENSES,,,,,,35747,36287,67967,85832,110741,134655,140331,147907,156998,159808,168900,170668,170296,174353,181808,185598,186461,168288,188014,181938,184888,3037485
PHI BETA SIGMA,,,,,,,,,,,,,,,,1700,2017,2166,2901,3605,3802,4094,3918,4958,4900,5051,39112
POLICE BENEVOLENT LICNS PLATE,,,,,,,,,,,,,,,,,50,,,,,,,,,,50
POLICE MEMORIAL COMMITTEE,,,,,,32675,46100,69825,88475,114900,142900,163375,180675,190325,198400,204450,209400,214900,217425,224159,221050,238963.53,563904.33,224000,203600,201475,3950976.86
POW LICENSE PLATES,,,,,,885,2366,2740,1824,1224,1119,1459,1670,2114,2123,1567,1670,1732,1700,1451,1353,1358,995,1007,946,888,32191
PUBLIC UNIVERSITY & COLLEGES,158551,181738,212751,252130,305451,298804,292323,332207,208241,35597,39158,37517,38300,38577,39145,39012,7332,,,50,,,,,40,40,2516964
REINSTATEMENTS,1140,2130,1680,1560,1920,1530,1710,1530,1230,1440,1290,7650,39750,97440,122040,148380,177510,187680,145740,119970,120870,120210,133260,182220,167940,181920,1969740
ROTARY CLUB PLATES,,,,,,,,,,,,,4550,4750,5075,5550,5700,5575,5250,5125,5000,4950,4225,4625,4125,4325,68825
SEPTEMBER 11TH LICENSES,,,,,,31880,51879,72006,77797,106411,134714,138785,143404,146508,147913,146605,144591,144949,141126,144683,143046,140101,123544,136543,128103,122659,2567247
SHARE THE ROAD LICENSE PLATES,,,,,,,,,,,,,,17170,13951,34130,39468,42113,44220,46464,46170,45386,40832,43978,39270,38038,491190
SHEET METAL WORKER LICENSES,,,,,,,,,,,,,1925,2200,2575,2950,2965,2885,3200,3525,3450,3700,3275,4000,3750,3800,44200
SIGMA GAMMA RHO,,,,,,,,,,,,3550,3275,3625,4000,4100,4765,4931,5644,5417,5528,5820,5135,6404,6010,5851,74055
SILVER STAR PLATE,,,,929,891,1114,575,525,315,165,105,,15,,15,,,,,,,17,,,,,4666
SIU - CARBONDALE,,,,,,,,,2575,8600,10525,11925,13325,14375,14850,15525,16429,16556,17725,17966,17088,18914,16249,15992,15531,15653,259803
SIU - EDWARDSVILLE,,,,,,,,,600,1275,1325,1300,1525,1375,1350,1525,1531,1591,1482,1306,1119,1373,2157,1211,3693,1171,26909
SOIL & WATER CNSRVATION PLATES,,,,,,,,,,,,,,,,400,,,,,,,,,,,400
SPECIAL OLYMPICS LICENSE,,,,,,,,,,,,10692,17847,15084,15462,17307,17397,17991,18324,18909,18053,18129,16551,18045,16083,15444,251318
SPORTSMAN SERIES LICENSE,78716,136982,169878,237777,294478,295123,295445,313525,301157,288904,302102,292446,291368,288360,286404,280850,271069,268099,257940,265090,258775,249505,216774,243659,218148,213416,6615990
ST JUDE CHILDREN RSRCH PLATES,,,,,,,,,,,,,,850,2400,,,,,,,,,,,,3250
STL CARDINALS LICENSE PLATES,,,,,,,,,,,,,,,,,,,,,,,89683,115031,118719,127370,450803
SUPPORT OUR TROOPS LCNSE PLTS,,,,,,,,,,,,,4978,11415,21298,25895,30341,33787,37565,44011,48565,51787,49483,53825,49557,50055,512562
SURVIVING SPOUSE-FIREFIGHTER,,,,,,,225,56,32,50,66,53,66,40,89,50,61,63,59,38,55,40,30,34,32,32,1171
SURVIVING SPOUSE-POLICE OFFICR,,,,,,,75,121,84,106,51,51,44,104,50,55,54,55,67,57,72,48,55,80,53,57,1339
TEMP VISITOR DRIVERS LICENSE,,,,,,,,,,,,,,,,,1203808,2520190,1873437,1980245,2904337,2358837,1671911,3106434,2814852,2684001,23118052
TRANSFER OF REGISTRATION,,,,,,,,,,,,,,,,,15411398.85,15857392.1,15881999,15022779,14539409,13678511.45,12418529,12175142,10320688.5,9458367.5,134764216.4
U OF I - CHAMPAIGN,,,,,,,,,66925,163325,171925,171800,174400,178275,178750,178225,194680,201224,194217,198218,193862,192387,176942,195356,178036,183751,3192298
U OF I - CHICAGO,,,,,,,,,3125,7775,7875,7825,7875,8250,8325,8450,8465,9737,7792,8136,7517,8509,6737,7952,8881,8279,141505
U OF I - SPRINGFIELD,,,,,,,,,325,950,1000,1150,1175,1225,1175,1325,1610,1521,1401,2185,1296,1967,3007,1657,1590,1319,25878
U S ARMY VET LICENSE PLATES,,,,,,,,,,,,,5572,6464,2,,,,,,,,,,,,12038
U S NAVY VET LICENSE PLATES,,,,,,,,,,,,,4495,6536,4822,,,,,,30,,105,45,75,,16108
UN PROTECTION FORCE LIC PLATE,,,,,,,,,,,,,,,,,,,,,,,,,,128,128
UNITED AUTO WORKERS,,,,,,,,,,,,,245,,,,,,,,,,,,,,245
UNIV OF CHICAGO LICENSE PLATES,,,,,,,,,,,,,,,,4058,6237,7270,7908,8897,10175,10452,9564,10700,11065,11308,97634
US AIR FORCE LICENSE PLATES,,,,,,,,,,,,,,,,,1460,8960,15440,22380,28780,34480,35920,41460,42020,44531,275431
US VETERANS LICENSE,30966,58760,65636,69302,83631,90846,64208,38178,41436,40665,40695,45345,40020,20400,90,,15,,,,,,60,60,345,90,730748
VEHICLE REGISTRATION FEE,,,,,,,,,,,,,,,,5079382,18827718,19116672,18793234,19916688,19320160,19248478,17236592,20001844,18382028,18028948,193951744
VEHICLE REGISTRATION SURCHARGE,,,,,,,,,,,,1363,8113733,9336179,9374170,9342329,9471848,9558352,9396642,9958366,9660061,9624414,8621369,10001028,9191025,,121650879
VIETNAM VETERAN PLATE,,,,,4972,19125,17155,13130,11985,10232,9120,10485,10995,8325,15,,,,,,,,,,,,115539
VIOLENCE PREVENTION LICENSE,1188687,1303614,1113776,1101304,1042447,812361,711857,712790,637643,594311,576651,542020,508600,486320,464152,435232,412111,393709,368224,367075,345889,329499,278359,313209,283633,274640,15598113
WEST POINT BICENTENNIAL,,,,,,2306,1115,987,1069,927,825,912,930,887,786,839,683,790,810,937,801,630,420,520,502,591,18267
WESTERN IL UNIVERSITY,,,,,,,,,3875,9250,10650,10775,11075,10725,11225,11500,12917,11985,11679,12975,13781,11384,12305,15785,11952,12765,206603
WILDLIFE PRAIRIE LICENSE,12656,18599,21299,24209,27657,27255,25415,29080,26184,26579,24888,23288,23754,22452,21872,20818,20442,19714,19178,19608,18332,17059,16350,18662,17563,18784,561697
WW II VETERANS PLATE,,,,,2279,5015,3405,2224,1678,1185,1035,1080,885,525,15,,2,,,,15,,,,,,19343
ZETA PHI BETA,,,,,,,,,,,,,,,,,4041,4351,5047,5589,5784,6090,6022,7422,7744,7707,59797
45,21343163.07,19321119.55,18916769.2,18825348.07,14312121.08,16015714.86,21610362.6,34617580.12,35831386.26,56934220.35,57849921.94,46237394.16,57708258.01,59948431.79,75808905.17,86025884.32,105452858.4,124687800.9,129213835.5,104994284,85033952.4,49395634.37,50644613.4,30310389.77,14915775.53,1507804,1337463529
REPURCHASED STUDENT LOANS,21123424.81,19125444.55,18533066.2,18443268.07,13859100.08,15117809.88,20593982.1,33530615.81,34697021.2,55832165.35,56219378.94,44571193.86,56188708.93,59063013.09,74809340.87,84893460.62,104217919,123037984.5,128605511.5,103494138.2,83436458.6,47794449.36,49185667.82,29329125.47,12722308.53,,1308424557
STUDENT  FEES,219738.26,195675,383703,382080,453021,897904.98,1016380.5,1086964.31,1134365.06,1102055,1630543,1666200.3,1519549.08,885418.7,999564.3,1132423.7,1234939.4,1649816.4,608324,1500145.8,1597493.8,1601185.01,1458945.58,981264.3,2193467,1507804,29038971.48
48,210496509.1,309829458.8,435978415.7,490709864.9,540311264.7,615994171.1,708209310,751664804.3,769222648,803469561.4,674107098.6,521380864.4,463151715.7,443181112.1,490839174.7,515709267.1,477367143,466240602.8,442756642.8,439528566.1,433574072.3,422691407.3,326237203,176779040.5,319564488.1,349488036.7,12598482443
3% ADJUSTED GROSS RECEIPTS,,,,,,,,,2694739.78,39552068.76,34241987.28,14481446.13,26550518.26,25067154.42,1615946.1,,,,,,,,,,,,144203860.7
RIVERBOAT WAGERING TAX,210496509.1,309829458.8,435978415.7,490709864.9,540311264.7,615994171.1,708209310,751664804.3,766527908.2,763917492.7,639865111.3,506899418.3,436601197.4,418113957.7,489223228.6,515709267.1,477367143,466240602.8,442756642.8,439528566.1,433574072.3,422691407.3,326237203,176779040.5,319564488.1,349488036.7,12454278582
51,904396743.6,1055831226,1102226086,1124264107,1151033770,1292161616,1258300413,1636162083,1388434682,1594314588,1914184041,2106757352,1724937877,1860702638,2800014673,3245992518,3530531851,3502925198,2453758389,2337483786,2470387749,2653344677,2939289414,2948264064,3265397282,3124799738,55385896563
CONTRIB/STATE PENSION FD,10531300,11234395.71,15360000,13150000,13100000,29814589.13,6652403.54,33664361.24,,,,,,,,,,,,,,,,,,,133507049.6
CONTRIBUTIONS BY EMPLOYEE,11470507.3,11272492.13,11791323.12,12068380.92,12462296.82,12779041.49,13768358.8,13309898.46,13851335.11,14131734.05,15367920.38,15634304.67,16001663.09,13505569.76,,,,,,,,,,,,,187414826.1
CONTRIBUTIONS BY EMPLOYER,728430165.5,877901951.2,912208399.8,926750440.2,932857551.2,961646924.4,1040406759,1381053112,1162986652,1357884081,1654940474,1853358488,1465224117,1592542411,2528967323,2985525625,3254300377,3223907667,2186163289,2076697586,2211581733,2385355398,2639744617,2656376357,2968216951,2816766345,48781794794
CURRENT YR/EMPLOYEE,13633731.82,12377536.93,11899543.66,12390951.93,18979391.74,28419859.26,68880692.89,101865588.8,158591488.2,201304610.9,217159911.1,220160032,223396201.9,233501769,249876108.3,241882096.3,258448638,260386722.6,249372500.1,242756472.3,240935996.8,250171531,280833730.4,272119747.4,274533120.6,285802225.1,4629680199
CURRENT YR/EMPLOYER,130869051.8,134302721.9,141426552.4,149664952.4,158412008.2,151951131.4,117099876.9,94726452.07,43276513.96,11033033.84,9115583.82,7220210.46,7341719.96,7465559.67,7733091.42,7523929.91,7669155.7,7660754.26,7415006.05,7167746.16,7066482.32,7297659.52,7778278.6,8073705.69,8597515.15,9169981.76,1257058675
EMPLOYEES RECEIVABLE,780198.13,564593.02,513081.17,507818.73,1168768.06,1539832.79,1093467.44,938018.21,923695.25,875210.86,778559.18,509893.47,755829.79,728476.2,728898.9,671681.76,504661.01,553682.1,547480.64,557608.76,559858.41,463920.74,497371.06,573636.04,757860.28,364801.79,18458903.79
INTEREST PAID BY MEMBERS,3246361.89,2051459.29,1423905.6,2002404.65,4898194.54,6990510.72,3998878.76,3949724.84,3228170.23,3715176.73,9006143.84,3489730.03,4297744.41,5455143.73,4771635.3,3781452.21,3788204.45,4480281.22,4527034.18,4606408.75,4454269.38,4305879.55,4308458.36,6157341.52,6131972.53,3977066.59,113043553.3
REINSTATE OF PRIOR YR,4354712.58,5671729.58,6757974.97,6836398.8,8693450.36,98899186.98,6305814.68,6609525.23,5545859.78,5360077.38,6999311.97,6312966.35,5960468.57,6684119.8,7291119.55,5495010.55,5242486.07,4959385.89,4926329.31,4678930,4765111.41,4652488.41,4469311.94,4906614.81,5195137.42,8543119.4,246116641.8
S. S. CONTRIBU-EMPLOYEES,37955.74,18307.08,105398.13,87972.36,21935.14,11831.59,23491.01,33423.94,12198.63,7742.49,420114.68,51866.5,1447556.35,251392.88,430823.4,874778.05,488502.83,487869.06,401303.23,506795.2,501035.4,549563.18,830435.64,39397.4,913970.76,104889.81,8660550.48
S. S. CONTRIBUTIONS-EMPLOYER,1042758.88,436039.45,739907.34,804787.04,440174.19,108708.36,70670.28,11978.21,18768.54,2921.63,396022.34,19860.38,512576.6,568196.7,215673.22,237944.13,89826.1,488835.76,405446.73,512239.18,523261.44,548236.44,827211.17,17264.35,1050753.62,71308.26,10161370.34
54,139562443.7,160311789.3,182592467.6,209346353.9,262490110.4,353359910.6,542681780.6,629097645.6,730305670.7,403098609.7,429838524.7,490292572.7,562904774.9,914626459.1,675382596.3,781522930.2,598868941.9,701766959.5,939347262.1,1131204885,1209137686,1116404179,919716766.2,1500096437,1856334064,2099992063,19540283884
ADMINISTRATIVE REIMBURSEMENT,,685285.83,263842.58,53111.88,89294.74,99447.72,40914.22,58367.74,36959.09,56218.65,122522.99,20733.75,22819.22,12038.52,494062.16,27892.85,11254.87,6727.19,36587.33,19117.54,10956.4,15535.87,68506.82,52540.31,80209.62,12387.96,2397335.85
AURORA UNIVERSITY,,,,,,,,,,,35625,16875,66375,18250,2625,375,,,,,,,,,,,140125
BEQUEST TO STATE,,,5476.83,,,,,,,,,,,,,,,,,,,,,,,,5476.83
CHIEF ST SCH OFFICER,,,,,50000,125000,125000,,,,,,,,,,,,,,,,,,,,300000
CORN COMMODITY SPONSORS,,,,,,,,,,,,,,,,,,,,,,,,,5000,,5000
CORPORATE SPONSERSHIPS,,,,,,,,,35266.41,2000,4500,7500,,,,,,,,,,,,,,,49266.41
CORPORATE SPONSORSHIPS,,,,,,,,52010,,,,,,,,,,,,,,,,,,,52010
DONATION BOX,423758.96,437219.99,461501.85,405947.19,416953.65,421417.38,354357.85,390335.26,392943.44,447899.3,392508.3,435341.43,478163.09,413270.03,406270.2,464092.72,509228.66,485305.94,483712.78,499189.47,543814.21,482593.87,421740.15,138836.39,346994.92,293966.96,10947363.99
EPIDEMIOLOGICAL STUDIES,,28695.47,,,,,,,,,,,,,,,,,,,,,,,,,28695.47
EXCELEON DONATION,,,,,,,9990,158937.17,,,,,,,,,,,,,,,,,,,168927.17
FEDERAL PROPERTY SALES,884698.46,67141.27,78247.32,93694.69,91413.21,62392.16,71347.9,276982.24,395920.08,934045.85,646378.8,966361.29,790689.25,1232008.79,116068.48,72402.11,181166.32,118416.43,118230.07,186489.06,58715.41,90652.76,62169.69,1250,,,7596881.64
FOR-PROFIT INSTITUTIONS,,,,,,,,,,,5000,,,,,,,,,,,,,,,,5000
GOV.'S PARTNERSHIP AGREEMENT,,,,,,,,,100805,,,,,,,,,,,,,,,,,,100805
IL CLEAN ENERGY COMMUNITY FOUN,,,,,,,,,,,18024,,9000,,,,,,,,,,,,,,27024
IL STATE FAIR/SPRINGFIELD,,,5736,289999.25,10928.5,22969,14169,25002.5,29785,21791.75,22814,21663.5,23773,20210.25,4845,4440,,,,,,,,,,,518126.75
IL STATE FIAR/DUQUOIN,,,600,57386.7,100,,,,,,,,,,,,,,,,,,,,,,58086.7
IMSA   FOUNDATION,476870.4,1211371.42,864579.3,589476.58,589388.79,1106062.49,1441958.66,728235.8,691326.6,618087.34,444495.51,715988.22,977828.04,841763.31,810428.31,907340.33,1105512.66,1132949.63,1535816.03,2324961.53,2021396.49,1035880.29,636208.11,182898.43,352422.5,428620.3,23771867.07
LARGE UNIT DISTRICT ASSOC,,,,,,,,,,,45000,68000,52000,58000,,,,,,,,,,,,,223000
LINCOLN HISTORIC LIBRARY CONTR,,,,4300000,10742760,284485.35,1791410.18,,13819.73,,,,,,,,,,,,,,,,,,17132475.26
LOCAL FUNDS,7969972.27,9236607.99,9024553.51,10450770.6,11123781.42,13033415.61,12971094.37,13186968.76,11728854.02,13597514.53,10614981.32,8407949.87,9607796.35,6026638.61,4566645.01,5437891.51,3622631.8,2698165.11,2170595.44,1357177.11,1049498.19,996671.81,877697.03,1036859.19,1029308.15,674713.77,172498753.4
MEDICAL,119850162.1,139774598.2,162108198.7,183494490.8,223875949.4,311330026.3,494935308.3,587734266.3,689329688.3,360967273.1,370876668.9,435573237.9,510386761.7,837408897.3,613689593.9,735896803.2,552047586.2,649840883.7,908391731.1,1094412264,1168025582,1080399824,892869315.6,1465646841,1819094011,2073023309,18480983273
MONETARY GIFTS OR BEQUESTS,,,,,,,25,20,,,,,14594.96,1455,3050,2150,1700,2700,1850,4475,5185,7025,6055,2570,1935,3440,58229.96
MOVIE COMPANIES,44593.94,,2752,41.98,,,,,1318.8,,,,,,,,,,,,,,,,,,48706.72
NCSSSMST,,,6000,,,,,,,,,,,,,,,,,,,,,,,,6000
NOT FOR PROFIT/JOYCE FOUNDTION,,,,,,,,,,,,,,,,,,12000,,,,,,,,,12000
NOT-FOR-PROF ENT/PUBLIC AGENDA,,,,,,,,,,,,,,,,,5000,48485,,,,,,,,,53485
NOT-FOR-PROFIT ENTITIES,,,,,,,,,,,48000,,,,,,,,,,,,,,,,48000
PARENT CONTRIB/CARE OF CHILD,463416.19,517671.88,502340.45,451003.06,427148.82,463938.07,333891.63,331042.28,280057.43,225613.36,118046.53,47447.16,23796.45,15084.7,24817.48,17191.07,14002.72,4459.31,29038.49,3515.02,3258,902,2792.65,8895.84,1969.96,1200,4312540.55
PARKER DOAN CHARITABLE TRUST,,,,,,,,,,,,,,,,,,,,,,40274,56332.97,53701.6,64882.6,122649.18,337840.35
PRIVATE ORG OR IND - CRF,,,,,,,,,,,,,,,,,,,,,1520206.92,4499621.79,3460890.05,3804244.39,3642349.6,2191151.32,19118464.07
PRIVATE ORGANIZA OR INDIV,9448971.39,8353197.21,9268639.06,9047051.13,15051036.61,26380119.8,30550740.36,26051895.92,25221320.56,26123363.65,46380793.23,43934593.69,40367539.72,68515612.85,55143594.02,38692301.46,41370683.67,47416807.2,26579675.87,32397670.58,35899073.79,28835197.9,21255058.11,29167725.73,31714980.11,23240624.48,796408268.1
ROYALTIES,,,,113380,21355.29,30636.73,39965.13,72346.8,45658.19,99917.21,62517.1,75280.95,60728.09,62879.74,120541.65,,,,,,,,,,,,805206.88
UTILITY ASSISTANCE DONATIONS,,,,,,,1608,31234.82,2001948.06,4885,648.99,1600,935,350,55,50,175,60,25,25,,,,73.94,0.25,,2043674.06
YAU HIGH SCHOOL MATH AWARD,,,,,,,,,,,,,21975,,,,,,,,,,,,,,21975
57,3803805978,3976303400,4298967329,4408546973,4703637504,5047120930,5597914133,5357166375,5253930073,5584575540,5484554904,8013743057,9126553680,8452135910,6474946506,6339385533,6559822175,6282167343,5989038519,6010636844,5887128014,6043785833,9796994899,9367908641,19850707012,11405705124,1.79117E+11
AFDC ADMINISTRATION,1921,,,1135180,,,,,,,,,,,,,,,,,,,,,,,1137101
AFDC ASSISTANCE,8643973,632480,,5513809,,,,,,,,,,,,,,,,,,,,,,,14790262
"AGRICULTURE, DEPARTMENT OF",474178004.9,471549745.1,512117457.8,513982121.8,543366455.9,612812810.4,605720205.6,627969237.7,644053286.3,691039100.6,709012503.8,772345711.1,813267330.7,869137073.5,892158360.7,900132010.8,964650769.6,992085285.6,998677547.8,996317417.8,964059645.2,964893309.2,915045144.7,963464162.1,1277148378,1188647384,20877830461
ALCOHOL & SUBST ABUSE BGF,,,,15000,15000,,,,,,,,,,,,,,,,,,,,,,30000
"ARMY, DEPARTMENT OF",4999.87,4277.64,3682.01,8573.95,2736.9,4891.45,8715.4,,,,,,,,,,,,,,,,,,,,37877.22
ARMY/ARMY NATIONAL GUARD,2082680.37,2446084.18,2753202.24,2890088.57,3174486.28,3410644.19,3306255.19,4269558.31,4485677.04,5036622.12,8046316.56,6607556.99,170474.65,,,,,,,,,,,,,,48679646.69
ARMY/NAVY-MILITARY YOUTH COR,6238957.07,4562019.33,5347153.16,5850884.92,5915477.54,4911857.46,4812108.83,5283104.06,4486729.32,3991889.37,4042765.44,4277306.03,4707898.88,6122588.83,7470966.87,6116954.6,6314320.48,5047352.73,4792503.27,4289299.2,4007448.76,4586819.92,4758018.44,3697714.01,5032488.27,5187696.16,131852323
BEHAVIORAL HLTH CARE INTGRTION,,,,,,,,,,,,,,,,600000,,,,,,,,,,,600000
BOARD OF HIGHER EDUCATION,,,,,,,,,,,,,,,,,,,,,,,,89765.11,159561,197041.89,446368
CCDBG MANDATORY,70847416,53747027,61613310,56873824,56873824,61808124,51939524,56873824,56873824,56873824,56873824,56873824,56873824,56873824,61169941,58425583,56873824,56873824,42655368,52134338,56873824,61613310,60520522,62706096,61613310,56873824,1500153581
CCDBG MANDATORY DISC,3720666,105997885,175850216,120151028,85870971,78076617,85696201,71818049,76543165,76304021,75665359,75409956,79146223,78622897,79167389,80471411,78384268,83710398,76948443,73174672,116227167,147751570,201001764,396094943,773415614.5,633016646.5,3928237540
CDBG FEDERAL BLOCK GRANT,,,,,,,,40242669.97,38422966.12,29464832.03,29946494.52,33165272.1,36286575.3,40245514.88,51323863.5,105263524,91921954.59,35953717.57,39698489.24,24408245.92,28313066.71,27274264.59,28769650.53,30735259.14,18981162.76,21365235.23,751782758.7
CIVIL DEFENSE AGENCY,586636.5,,,,,,,,,,,,,,,,,,,,,,,,,,586636.5
